X,Y,U,V,T,
0.1075,0.0075,-0.0108471,-0.000286307,0.169809,
0.1125,0.0075,-0.0105452,-0.00024735,0.169511,
0.1175,0.0075,-0.010283,-0.000214856,0.169242,
0.1225,0.0075,-0.0100542,-0.000187683,0.168994,
0.1275,0.0075,-0.00985344,-0.000164687,0.168761,
0.1325,0.0075,-0.00967665,-0.000145176,0.168539,
0.1375,0.0075,-0.00952036,-0.000128411,0.168326,
0.1425,0.0075,-0.00938176,-0.000113969,0.168119,
0.1475,0.0075,-0.00925855,-0.00010136,0.167916,
0.1525,0.0075,-0.00914882,-9.03246e-05,0.167717,
0.1575,0.0075,-0.009051,-8.0529e-05,0.16752,
0.1625,0.0075,-0.00896378,-7.18115e-05,0.167325,
0.1675,0.0075,-0.00888609,-6.39391e-05,0.167132,
0.1725,0.0075,-0.00881703,-5.68105e-05,0.166939,
0.1775,0.0075,-0.00875586,-5.02582e-05,0.166747,
0.1825,0.0075,-0.00870195,-4.42192e-05,0.166555,
0.1875,0.0075,-0.00865481,-3.85703e-05,0.166364,
0.1925,0.0075,-0.00861399,-3.32732e-05,0.166172,
0.1975,0.0075,-0.00857917,-2.82355e-05,0.16598,
0.2025,0.0075,-0.00855005,-2.3435e-05,0.165788,
0.2075,0.0075,-0.00852641,-1.8802e-05,0.165595,
0.2125,0.0075,-0.00850806,-1.4325e-05,0.165402,
0.2175,0.0075,-0.00849485,-9.95109e-06,0.165208,
0.2225,0.0075,-0.00848667,-5.67685e-06,0.165014,
0.2275,0.0075,-0.00848342,-1.46204e-06,0.164819,
0.2325,0.0075,-0.00848503,2.69062e-06,0.164623,
0.2375,0.0075,-0.00849145,6.811e-06,0.164426,
0.2425,0.0075,-0.00850263,1.08916e-05,0.164228,
0.2475,0.0075,-0.00851853,1.49534e-05,0.164029,
0.2525,0.0075,-0.00853912,1.89848e-05,0.163829,
0.2575,0.0075,-0.00856437,2.29991e-05,0.163628,
0.2625,0.0075,-0.00859425,2.69805e-05,0.163426,
0.2675,0.0075,-0.00862871,3.09355e-05,0.163223,
0.2725,0.0075,-0.0086677,3.48444e-05,0.163018,
0.2775,0.0075,-0.00871118,3.87071e-05,0.162812,
0.2825,0.0075,-0.00875904,4.25001e-05,0.162604,
0.2875,0.0075,-0.00881122,4.62168e-05,0.162395,
0.2925,0.0075,-0.00886759,4.98295e-05,0.162184,
0.2975,0.0075,-0.00892801,5.33258e-05,0.161972,
0.3025,0.0075,-0.00899232,5.66736e-05,0.161758,
0.3075,0.0075,-0.00906033,5.98546e-05,0.161543,
0.3125,0.0075,-0.00913181,6.28326e-05,0.161325,
0.3175,0.0075,-0.00920649,6.55837e-05,0.161106,
0.3225,0.0075,-0.00928409,6.80675e-05,0.160885,
0.3275,0.0075,-0.00936425,7.0255e-05,0.160662,
0.3325,0.0075,-0.00944661,7.21024e-05,0.160437,
0.3375,0.0075,-0.00953073,7.35761e-05,0.16021,
0.3425,0.0075,-0.00961613,7.46295e-05,0.15998,
0.3475,0.0075,-0.00970231,7.5226e-05,0.159749,
0.3525,0.0075,-0.00978868,7.53173e-05,0.159516,
0.3575,0.0075,-0.00987464,7.4865e-05,0.15928,
0.3625,0.0075,-0.00995951,7.38211e-05,0.159042,
0.3675,0.0075,-0.0100426,7.21476e-05,0.158801,
0.3725,0.0075,-0.0101231,6.9799e-05,0.158559,
0.3775,0.0075,-0.0102002,6.67402e-05,0.158314,
0.3825,0.0075,-0.0102731,6.2931e-05,0.158066,
0.3875,0.0075,-0.0103409,5.83425e-05,0.157817,
0.3925,0.0075,-0.0104027,5.29427e-05,0.157564,
0.3975,0.0075,-0.0104575,4.67125e-05,0.15731,
0.4025,0.0075,-0.0105044,3.96319e-05,0.157053,
0.4075,0.0075,-0.0105423,3.16947e-05,0.156793,
0.4125,0.0075,-0.0105704,2.28966e-05,0.156531,
0.4175,0.0075,-0.0105875,1.32482e-05,0.156267,
0.4225,0.0075,-0.0105929,2.76361e-06,0.156,
0.4275,0.0075,-0.0105855,-8.52666e-06,0.15573,
0.4325,0.0075,-0.0105644,-2.05869e-05,0.155458,
0.4375,0.0075,-0.0105289,-3.33645e-05,0.155184,
0.4425,0.0075,-0.0104781,-4.68009e-05,0.154908,
0.4475,0.0075,-0.0104114,-6.08211e-05,0.154629,
0.4525,0.0075,-0.0103282,-7.53435e-05,0.154347,
0.4575,0.0075,-0.0102279,-9.0271e-05,0.154064,
0.4625,0.0075,-0.0101103,-0.000105501,0.153778,
0.4675,0.0075,-0.00997497,-0.000120918,0.15349,
0.4725,0.0075,-0.00982192,-0.0001364,0.1532,
0.4775,0.0075,-0.00965115,-0.000151819,0.152908,
